d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,468229.18,473532.85
1_facilities_and_construction,2019-2020,3356007.93,3316699.89
1_facilities_and_construction,2020-2021,4030137.54,3846343.80
1_facilities_and_construction,2021-2022,1363413.66,1286814.71
1_facilities_and_construction,2022-2023,816500.00,732771.81
5_transportation_and_logistics,2018-2019,180090.00,184230.93
5_transportation_and_logistics,2020-2021,175501.50,169020.76
5_transportation_and_logistics,2021-2022,220576.00,199397.19
