d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,723237.1811887003
1_facilities_and_construction,2018-2019,578789.7459640127
1_facilities_and_construction,2019-2020,360326.35404652625
1_facilities_and_construction,2020-2021,137025.28725533452
2_professional_services,2017-2018,814175.8747367198
2_professional_services,2018-2019,806584.1716571109
2_professional_services,2019-2020,793443.160289492
2_professional_services,2020-2021,791275.2828023622
6_industrial_products_and_services,2017-2018,644189.9029873718
6_industrial_products_and_services,2018-2019,347788.3565211546
6_industrial_products_and_services,2019-2020,253559.20841878332
6_industrial_products_and_services,2020-2021,269192.6653308841
