d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,723237.18,745282.36
1_facilities_and_construction,2018-2019,578789.75,590569.83
1_facilities_and_construction,2019-2020,360326.35,356225.90
1_facilities_and_construction,2020-2021,137025.29,130510.71
1_facilities_and_construction,2021-2022,37128.79,34763.23
11_defence,2021-2022,29914.50,28294.36
2_professional_services,2017-2018,814175.87,839129.74
2_professional_services,2018-2019,806584.17,821386.32
2_professional_services,2019-2020,793443.16,787075.70
2_professional_services,2020-2021,791275.28,754381.65
2_professional_services,2021-2022,822670.35,769768.77
6_industrial_products_and_services,2017-2018,644189.90,663633.19
6_industrial_products_and_services,2018-2019,347788.36,353908.69
6_industrial_products_and_services,2019-2020,253559.21,251324.31
6_industrial_products_and_services,2020-2021,269192.67,256711.86
6_industrial_products_and_services,2021-2022,348933.43,325982.55
