category,d_description_en,source
3_information_technology,0473 – information technology and telecommunications consultants - technology architect level 3,manual
3_information_technology,0473 – information technology and telecommunications consultants - telecommunications consultants,manual
3_information_technology,0473 – information technology and telecommunications consultants - web content specialist,manual
3_information_technology,0473 information technology and telecommunications consultants,manual
3_information_technology,0474 – information management services,manual
3_information_technology,0475 – information technology services,manual
3_information_technology,0475 information technolgoy services,manual
3_information_technology,0475 information technology services,manual
2_professional_services,0481 - storage/warehousing,manual
2_professional_services,0481 - warehousing storage,manual
2_professional_services,0491 - management consulting,manual
2_professional_services,0491 – management consulting - business process consultant,manual
2_professional_services,0491 – management consulting - coaching services,manual
2_professional_services,0491 – management consulting - consultant for workshop management,manual
2_professional_services,0491 management consulting,manual
2_professional_services,0491 management consulting - consultant,manual
2_professional_services,0491 other professional servcs- consultant,manual
2_professional_services,0492 - research contracts,manual
2_professional_services,0492 – research contracts,manual
2_professional_services,0492 research contracts,manual
2_professional_services,0493 interpretation services,manual
2_professional_services,0494 - translation services,manual
2_professional_services,0494 translation services,manual
2_professional_services,0495 - counselling and management advisory services,manual
1_facilities_and_construction,0496 - service contract,manual
1_facilities_and_construction,0496 - service contracts,manual
2_professional_services,0499 - other profesional services,manual
1_facilities_and_construction,0499 - other professional services,manual
2_professional_services,0499 - other professional services not elseswhere specified,manual
2_professional_services,0499 - other professional services not elsewhere specified,manual
2_professional_services,0499 – other professional services not elsewhere specified - advisory group on disability issues,manual
2_professional_services,0499 – other professional services not elsewhere specified - facilitation services,manual
2_professional_services,0499 – other professional services not elsewhere specified - independent reviewer services,manual
2_professional_services,0499 – other professional services not elsewhere specified - insurance services,manual
3_information_technology,0499 – other professional services not elsewhere specified - it facilitator,manual
2_professional_services,0499 – other professional services not elsewhere specified - senior procurement specialist,manual
2_professional_services,0499 other professional servcs,manual
2_professional_services,0499 other professional servcs- research,manual
2_professional_services,0499 other professional servcs - consultant,manual
2_professional_services,0499 other professional servcs - language training,manual
2_professional_services,0499 other professional servcs - learninmg program,manual
2_professional_services,0499 other professional servcs - office furniture,manual
2_professional_services,0499 other professional servcs - organizational design consultant,manual
2_professional_services,0499 other professional servcs - security equipment,manual
2_professional_services,0499 other professional servcs - temporary help,manual
2_professional_services,0499 other professional servcs - temporary help services,manual
2_professional_services,0499 other professional servcs - training,manual
2_professional_services,0499 other professional servcs - work description writer,manual
2_professional_services,0499 other professional servcs - writing,manual
2_professional_services,0499 other professional services - consultant,manual
2_professional_services,0499 other professional services - investigative services,manual
2_professional_services,0499 other professional services not elsewhere specified,manual
10_office_management,"0533 - rental of machinery, equipment and furniture",manual
10_office_management,"0533 rental of machinery, office furniture and fixtures and other",manual
10_office_management,"0533 rental of machinery, office furniture and fixtures and other equipment",manual
10_office_management,"0533 rental of mahinery, office furniture and fixtures and other equipment (photocopier)",manual
10_office_management,0533 rntl machnry furnit eqp,manual
10_office_management,0533 rntl machnry furnit eqp - photocipier,manual
10_office_management,0570 - rental - others,manual
10_office_management,0570 - rental – other,manual
10_office_management,0570 rental - other,manual
3_information_technology,0579 - cloud services,manual
3_information_technology,0582 - license & maintenance fees - workstation software,manual
3_information_technology,0582 - license and maintenance fees - workstation software,manual
3_information_technology,0582 - license/maintenance fees for client software related to distributed computing environment (dce),manual
3_information_technology,0582 - license/maintenance workstation sw,manual
3_information_technology,0582 - maintenance client software,manual
3_information_technology,0582 - maintenance fee client software,manual
3_information_technology,0582 - maintenance fees for client software,manual
3_information_technology,0582 license/maintenance fees for client software,manual
3_information_technology,0583 - license and maintenance fees - application development software,manual
3_information_technology,0583 - license/maintenance application sw &devel,manual
3_information_technology,0583 - license/maintenance fees for application software (including cots) and application development and delivery software,manual
3_information_technology,0583 - maintenance application software,manual
3_information_technology,0583 - maintenance fee application software,manual
3_information_technology,0583 - maintenance fees for application software,manual
3_information_technology,0583 - software,manual
3_information_technology,0583 license/maintenance fees for application software (including cots) & application development & delivery software,manual
3_information_technology,0583 license/maintenance fees for application software (including cots) and application development and delivery software,manual
3_information_technology,0583 main licens - software and maintenace,manual
3_information_technology,0583 software,manual
3_information_technology,0584 - license and maintenance fees - information technology infrastructure software,manual
3_information_technology,"0584 - license/maintenance fees for operating system and utility software related to servers, storage, peripherals and components",manual
3_information_technology,0584 - license/maintenance infrastructure sw,manual
3_information_technology,0584 - maintenance fee server operating,manual
3_information_technology,0584 - maintenance fee server operation,manual
3_information_technology,0584 - maintenance fees server operating,manual
3_information_technology,0584 - maintenance server operation,manual
3_information_technology,"0584 – license/maintenance fees for operating system and utility software related to servers, storage, peripherals and components",manual
3_information_technology,0584 licence/maintenance fees for server operating system and utility software,manual
3_information_technology,"0584 license/maintenance fees for operating system and utility software related to servers, storage, peripherals and components",manual
3_information_technology,0584 license/maintenance fees for server operating system and utility software,manual
3_information_technology,0585 - license and maintenance fees - network software,manual
3_information_technology,0585 - license/maintenance fees for networking software,manual
3_information_technology,0585 - maintenance fee network software,manual
3_information_technology,0585 - maintenance network software,manual
3_information_technology,0585 license/maintenance fees for networking software,manual
3_information_technology,0587 rental of computers - servers,manual
3_information_technology,0588 - rental of computer equipment related to distributed computing environment (dce) - desktop/personal/portable (includes all related parts and peripherals),manual
3_information_technology,0588 rental of computers - client computing domain - desktop/personal/portable,manual
3_information_technology,0588 rental of computers -client computing domain - desktop/personal/portable,manual
3_information_technology,0590 license/maintenance fees for image/video communications software,manual
1_facilities_and_construction,0628 other engin installat,manual
1_facilities_and_construction,0628 other engin installat - grave markers,manual
1_facilities_and_construction,0628 other engineering works (cemetery maintenance),manual
6_industrial_products_and_services,0665 – repair of other equipment,manual
6_industrial_products_and_services,0665 other equipment,manual
10_office_management,0665 other equipment - audio visual equipment,manual
6_industrial_products_and_services,0665 other equipment - security equipment,manual
3_information_technology,0668 digi voice comm serv(ana,manual
3_information_technology,"0672 - computer equipment related to production and operations (p&o) environment - all servers, storage, printers, etc. (Includes all related parts and peripherals)",manual
3_information_technology,0672 - r&m it infrastructure equipment,manual
3_information_technology,0672 - repairs & maintenance of informatique technology infrastructure equipment - servers,manual
3_information_technology,0673 - computer equipment related to distributed computing environment (dce) - desktop/personal/portable (includes all related parts and peripherals),manual
5_transportation_and_logistics,0682 road motor vehicles - non-military,manual
3_information_technology,0812 - computer services,manual
3_information_technology,0812 - computer services (includes it solutions / deliverables as well as it managed services),manual
3_information_technology,0812 comptr serv ogd - software purchase and license,manual
3_information_technology,0812 information technology managed services,manual
2_professional_services,0813 - temporary help services,manual
2_professional_services,0813 – temporary help services - advanced project administrator,manual
3_information_technology,0813 – temporary help services - wireless telecommunication analyst,manual
2_professional_services,0813 temp help services,manual
2_professional_services,0813 temporary help services,manual
10_office_management,0819 - non-professional personal service contracts not elsewhere specified,manual
10_office_management,0819 non-professional personal service contracts not elsewhere,manual
10_office_management,0819 non-professional personal service contracts not elsewhere specified,manual
10_office_management,0819 non-professional personal service contracts not elsewhere specified (cemetery maintenance),manual
1_facilities_and_construction,0819 non-professiopnal personal service contracts not elsewhere specified (cemetery maintenance),manual
9_human_capital,0821 - membership fees,manual
10_office_management,0822 - hospitality,manual
2_professional_services,0859 – other business services not elsewhere specified - catering services,manual
2_professional_services,0859 other business services,manual
2_professional_services,0859 other business services- investigative services,manual
2_professional_services,0859 other business services - audiovisual production,manual
2_professional_services,0859 other business services - calligraphy service,manual
2_professional_services,0859 other business services - career transition services,manual
2_professional_services,0859 other business services - communication services,manual
2_professional_services,0859 other business services - communications consultants,manual
2_professional_services,0859 other business services - conference pl anning,manual
2_professional_services,0859 other business services - conference planning,manual
2_professional_services,0859 other business services - consultant,manual
2_professional_services,0859 other business services - digitization,manual
2_professional_services,0859 other business services - display stand,manual
2_professional_services,0859 other business services - editing,manual
2_professional_services,0859 other business services - events management,manual
2_professional_services,0859 other business services - graphic design,manual
2_professional_services,0859 other business services - informatics training,manual
2_professional_services,0859 other business services - investigative services,manual
2_professional_services,0859 other business services - organizational review,manual
