category,d_description_en,source
6_industrial_products_and_services,"Crushers, mills, laboratory",classifier
6_industrial_products_and_services,Crystal and glass industries machinery,classifier
6_industrial_products_and_services,Crystals,classifier
3_information_technology,Csdc annual maintenance,manual
1_facilities_and_construction,Cubicle disassembling and removal - phase 1 & 2,manual
6_industrial_products_and_services,"Cultivators, spring tooth",classifier
10_office_management,"Cup, mug and saucer (earthenware)",classifier
10_office_management,"Cup, plastic, and foam disposable",classifier
10_office_management,"Cup, water canteen, stainless steel",classifier
3_information_technology,"Current tracers, logic",classifier
6_industrial_products_and_services,"Curtains, shower, plastic",classifier
6_industrial_products_and_services,"Cushioning material, packaging, polystyrene, polyurethane or polyethylene foam",classifier
1_facilities_and_construction,Custodial - janitorial services,classifier
1_facilities_and_construction,Custodial services,manual
6_industrial_products_and_services,Custom fabricating machinery,classifier
6_industrial_products_and_services,"Custom metalwork, miscellaneous furniture and fixtures",classifier
6_industrial_products_and_services,"Custom woodwork, miscellaneous furniture and fixtures",classifier
2_professional_services,Customs brokerage services,classifier
6_industrial_products_and_services,Cut-off machines,classifier
10_office_management,Cutlery,manual
10_office_management,Cutlery and flatware,manual
10_office_management,"Cutlery, silver",classifier
6_industrial_products_and_services,Cutter heads (woodworking),classifier
6_industrial_products_and_services,"Cutters, cable, cartridge actuated",classifier
6_industrial_products_and_services,"Cutters, hand powered",classifier
10_office_management,"Cutters, paper, guillotine, office type",classifier
6_industrial_products_and_services,Cutting and forming tools for secondary metal working machinery,classifier
6_industrial_products_and_services,"Cutting edges, moldboard",classifier
6_industrial_products_and_services,Cutting tools for machine tools,manual
6_industrial_products_and_services,"Cutting tools for machine tools, n.e.s.",classifier
1_facilities_and_construction,Cutting/removing of alder trees between for surrounding areas near pumphouse rd. At the port hardy airport,classifier
5_transportation_and_logistics,Cylinder assemblies,classifier
6_industrial_products_and_services,"Cylinder assembly, actuating, linear, hydraulic, heavy duty, industry and construction application",classifier
6_industrial_products_and_services,Cylinder sleeves and piston assemblies,classifier
6_industrial_products_and_services,"Cylinders, compressed gases (empty)",classifier
5_transportation_and_logistics,"Cylinders, hydraulic accumulators, aircraft engine",classifier
3_information_technology,D301 - adp facility operations and maintenance services,classifier
3_information_technology,D308 - programming services,classifier
3_information_technology,D309b - office communications systems,classifier
3_information_technology,D317af - telecommunications - video conferencing,classifier
3_information_technology,D399aa - miscellaneous communication services,classifier
3_information_technology,"D399ab - professional services, telecommunications",classifier
3_information_technology,D399b - telecommunications,classifier
10_office_management,Dairy,manual
10_office_management,Dairy foods and eggs,classifier
10_office_management,Dairy foods and eggs (replaced by gsin n8910z),classifier
10_office_management,Dairy products and other animal products,manual
10_office_management,"Dairy, poultry and livestock equipment",classifier
0_other,Damage and other claims against the crown,classifier
3_information_technology,Data &,manual
3_information_technology,Data & database access services,manual
3_information_technology,"Data (message/text, and computer) communications equipment",classifier
3_information_technology,Data acquisition and collection equipment - off line,classifier
2_professional_services,Data analysis - performance of a survey,manual
9_human_capital,Data and database access services,manual
9_human_capital,Data and database access services - canadian ferry operators association,classifier
9_human_capital,Data and database access services - e-data subscription services,classifier
9_human_capital,Data and database access services - e-library subscription services,classifier
9_human_capital,"Data and database access services costs for services provided by statistics canada and other providers related to the collection, dissemination, provision, analysis and access to data in support of policy research and other departmental activities. Also includes the costs of database searches and subscriptions to database services.",manual
9_human_capital,"Data and database access services costs for services provided by statistics canada and other providers related to the collection, dissemination, provision, analysis and access to data in support of policy research and other departmental activities. Also includes the costs of database searches and subscriptions to database services. Note that these costs are for data collected, owned, and managed parties external to the department.",manual
3_information_technology,Data centre services,manual
2_professional_services,Data collection services,manual
3_information_technology,Data communctn serv (incl analog &/or digtl data communctn serv),classifier
3_information_technology,Data communication services,manual
3_information_technology,Data communication services including analog/digital,manual
3_information_technology,"Data communications equipment - adaptors, interfaces, etc.",classifier
3_information_technology,Data communications service,manual
3_information_technology,Data communications service (include analog & digital data),manual
3_information_technology,Data communications services,manual
3_information_technology,Data communications services (includes analog and/or digital data communication services),manual
3_information_technology,Data communications services (including analog),classifier
3_information_technology,"Data communications services data communications services from service providers (including telecommunications common carriers). It includes transmission channel (can include twisted pair, fiber-optic, coaxial and wireless), equipment, access, and usage charges, installation, relocation and directory charges, but excludes equipment purchased or rented from a third party. It includes costs for smart phone (e.g. Blackberry) usage that combine voice and data services. It includes non-voice enhanced services such as internet access, electronic mail service, electronic messaging services, electronic document exchange services, etc.",manual
2_professional_services,Data conversion services,classifier
2_professional_services,Data entry - senior,manual
2_professional_services,Data entry person - senior - ths,manual
2_professional_services,Data entry services,manual
3_information_technology,Data loggers,classifier
5_transportation_and_logistics,Data recorders (airborne),manual
3_information_technology,Data transmission service,manual
2_professional_services,Data visualization initiative coordinator,manual
3_information_technology,Database administrator,manual
3_information_technology,Database administrator - alexandra vukovic,manual
3_information_technology,Database administrator services,manual
3_information_technology,Database analyst / im administrator,manual
3_information_technology,Database/variable imaging,classifier
10_office_management,Decals,classifier
10_office_management,Decals printed,classifier
6_industrial_products_and_services,"Decals, pressure sensitive type",classifier
6_industrial_products_and_services,"Decals, printed",classifier
6_industrial_products_and_services,Deck machinery,manual
6_industrial_products_and_services,Deck machinery - repair and overhaul,classifier
6_industrial_products_and_services,Decontaminating and impregnating equipment,manual
6_industrial_products_and_services,Decontaminating equipment and components nbcw (vehicles excepted,classifier
6_industrial_products_and_services,Decontaminating equipment and components nbcw (vehicles excepted),classifier
0_other,Default - deleted line object (system requirement),classifier
11_defence,Defence - other (r & d),classifier
11_defence,Defence systems (r & d),classifier
11_defence,Defense electronics and communication equipment (r&d),classifier
11_defence,Defense missile and space systems (r&d),classifier
11_defence,Defense ships (r&d),classifier
11_defence,Defense tank - automotive (r&d),classifier
9_human_capital,Defensive driving course,manual
4_medical,Defibrillators,classifier
6_industrial_products_and_services,"Degaussers, magnetic tape",classifier
11_defence,Degaussing and minesweeping equipment,manual
6_industrial_products_and_services,Degreasers,manual
6_industrial_products_and_services,Dehumidifiers industrial,classifier
6_industrial_products_and_services,"Dehumidifiers, space",classifier
6_industrial_products_and_services,"Deicing and defrosting fluid, aircraft surfaces",manual
1_facilities_and_construction,"Deicing compound, salt and sand mixture for road surfaces",manual
5_transportation_and_logistics,"Deicing equipment, truck mounted",classifier
10_office_management,Delivery of newspapers,manual
3_information_technology,Dell 5050 optiplex pc's - 12,manual
3_information_technology,Dell laptops - 15,manual
3_information_technology,Dell power edge r730 server,manual
3_information_technology,Dell power edge r830 server,manual
3_information_technology,Dell poweredge r230 servers,manual
11_defence,Demilitarization services - ammunition and related products,classifier
6_industrial_products_and_services,Demolition materials,classifier
1_facilities_and_construction,Demolition of buildings,classifier
1_facilities_and_construction,Demolition work,manual
4_medical,Dental chair,manual
4_medical,"Dental instruments, equipment and supplies - repair",manual
4_medical,"Dental instruments, equipment and supplies (n.e.s.)",manual
4_medical,"Dental instruments, equipment, and supplies",manual
4_medical,"Dental instruments, equipment, and supplies - installation",manual
4_medical,Dental services,manual
1_facilities_and_construction,Dental units,manual
6_industrial_products_and_services,Deodorant,classifier
6_industrial_products_and_services,"Deodorant, air sanitizer, aerosol",classifier
10_office_management,"Departmental booklets, flat forms, tables, guides, etc. (Printin",classifier
9_human_capital,Deposits received,classifier
11_defence,"Depth charges and components, explosive",classifier
6_industrial_products_and_services,"Depth charges and components, inert",classifier
1_facilities_and_construction,Derricks,classifier
6_industrial_products_and_services,Desiccators (includes vacuum type),classifier
9_human_capital,Design and development of training material,manual
2_professional_services,Design and drafting services inhouse,classifier
2_professional_services,Design and facilitation of lng and marine shipping technical working group,classifier
2_professional_services,Design and layout of annual report,manual
2_professional_services,Design and printing services - amd to exercise option year # 1,manual
1_facilities_and_construction,Design build services - real property,manual
1_facilities_and_construction,Design building services - real property,classifier
1_facilities_and_construction,Design building services -real property,classifier
2_professional_services,"Design engineering, communications",manual
2_professional_services,"Design engineering, telecommunications",classifier
2_professional_services,"Design engineering, telecommunications, satellite (casp)",classifier
2_professional_services,Design of school group flyers,manual
2_professional_services,Design professionnal fees,manual
2_professional_services,Design services,classifier
3_information_technology,Designing and programming web sites,classifier
10_office_management,Desk,manual
3_information_technology,Desktop computers,manual
6_industrial_products_and_services,"Detection tube assembly, chemical agents (cw)",classifier
6_industrial_products_and_services,"Detector kit components, n.e.s.",classifier
11_defence,"Detector kit, chemical agent (cw)",classifier
11_defence,"Detector kit, chemical agent (nerve)",classifier
6_industrial_products_and_services,"Detector, chemical agent (nerve)",classifier
6_industrial_products_and_services,Detectors (except hazard detecting),classifier
6_industrial_products_and_services,"Detectors, drugs of abuse",classifier
3_information_technology,"Detectors, electronic test equipment",classifier
8_security_and_protection,"Detectors, hazard",classifier
8_security_and_protection,"Detectors, hazard, concealed weapon, x-ray inspection",classifier
8_security_and_protection,"Detectors, hazard, explosives",classifier
8_security_and_protection,"Detectors, hazard, gas (includes toxic and explosive)",classifier
8_security_and_protection,"Detectors, hazard, radiation",manual
5_transportation_and_logistics,"Detectors, ice, aircraft",classifier
6_industrial_products_and_services,"Detectors, leak (gas, vacuum, liquid)",classifier
6_industrial_products_and_services,"Detectors, metal",classifier
6_industrial_products_and_services,"Detectors, metal flaw, electronic",classifier
11_defence,"Detectors, metal, military (mine detectors and sets)",classifier
6_industrial_products_and_services,"Detectors, nbcw (electrical and electronic)",classifier
6_industrial_products_and_services,"Detectors, radiation all types, geophysical type",classifier
6_industrial_products_and_services,"Detergent, general purpose",classifier
6_industrial_products_and_services,"Detergent, laundry, powder, built can/cgsb-2.115-95",classifier
11_defence,Detonators,classifier
9_human_capital,Development and management of on-line courses,classifier
2_professional_services,Development of methodology,manual
6_industrial_products_and_services,"Device biofeedback, heart rate monitoring",classifier
1_facilities_and_construction,"Device, locking, hasp locking, single drawer, ssc/ses 402, dss qpl",manual
3_information_technology,Diagnostic equipment for micro computers,classifier
6_industrial_products_and_services,"Diaphragm relief valve, non-powered",classifier
6_industrial_products_and_services,"Die and tap set, thread cutting",classifier
6_industrial_products_and_services,"Dies for casting, coining, drawing, forging, forming, moulding,",classifier
5_transportation_and_logistics,"Diesel engines-repair and overhaul, modification and maintenance(except marine and non-specific components)",classifier
5_transportation_and_logistics,Diesel engines and components,manual
5_transportation_and_logistics,Diesel engines and components - caterpillar,classifier
5_transportation_and_logistics,Diesel engines and components - repair,manual
5_transportation_and_logistics,Diesel engines and components armoured fighting vehicles,classifier
5_transportation_and_logistics,Diesel engines and components ground effect vehicles,classifier
5_transportation_and_logistics,Diesel engines and components marine engines and components,classifier
5_transportation_and_logistics,"Diesel engines and components, ground effect vehicles",classifier
5_transportation_and_logistics,"Diesel engines and components, n.e.s.",classifier
5_transportation_and_logistics,"Diesel engines and components, n.e.s. - cummins",classifier
5_transportation_and_logistics,"Diesel engines and components, n.e.s. - detroit",classifier
5_transportation_and_logistics,"Diesel engines and components, n.e.s. - deutz",classifier
5_transportation_and_logistics,"Diesel engines and components, n.e.s. - volvo penta",classifier
5_transportation_and_logistics,"Diesel engines and components, n.e.s., marine",classifier
5_transportation_and_logistics,"Diesel engines, repair, overhaul, modification and maintenance",classifier
5_transportation_and_logistics,"Diesel engines, repair, overhaul, modification and maintenance, marine and non specific components",classifier
5_transportation_and_logistics,Diesel fuel,manual
5_transportation_and_logistics,"Diesel fuel - wabush, nl",manual
5_transportation_and_logistics,"Diesel fuel -st. Anthony, nl",manual
5_transportation_and_logistics,"Diesel fuel, automotive",manual
4_medical,Dietary services,classifier
1_facilities_and_construction,Diggers posthole hinged,classifier
3_information_technology,Digital (incl digital voice) communication / networking equipment (incl reltd parts & periphrls),manual
3_information_technology,Digital (incl digital voice) communication / networking equipment (including related parts and peripherals),manual
3_information_technology,Digital (incl digital voice) communication /networking equipment (incl related parts and peripherals),manual
3_information_technology,Digital (incl digtl voice) communication / networking equipment (incl reltd parts & periphrls),manual
3_information_technology,Digital channel communication services for combined transmissions,classifier
3_information_technology,Digital channel communications/network services,manual
2_professional_services,Digital client services strategy,manual
3_information_technology,Digital communications/ networking equipment,classifier
1_facilities_and_construction,Digital control systems - installation and repair,manual
2_professional_services,"Digital maps, charts and geodetic products",manual
10_office_management,Digital photocopiers,manual
3_information_technology,"Digital photocopiers, printers and multifunctional devices (mfds) - lease",manual
3_information_technology,Digital services equipments,manual
3_information_technology,Digitizers,manual
3_information_technology,Digitizers - lease,classifier
3_information_technology,Digtl (incl digtl voice) communctn / netwrkng equipmnt (incl reltd parts & periphrls),manual
10_office_management,Dining packet,classifier
6_industrial_products_and_services,Diodes,classifier
11_defence,Direct fire weapon simulators,classifier
1_facilities_and_construction,Disaster recovery services,classifier
1_facilities_and_construction,Disaster restoration - building clean-up,classifier
6_industrial_products_and_services,"Discriminators, test",classifier
1_facilities_and_construction,Diseased tree surgery or removal,classifier
6_industrial_products_and_services,"Dishes and bowls, earthenware",classifier
6_industrial_products_and_services,"Dishes, plastic",classifier
6_industrial_products_and_services,"Dishwasher detergent machine powder non-chlorinated, phosphate-free",classifier
6_industrial_products_and_services,Dishwashing compound,manual
6_industrial_products_and_services,"Dishwashing compound, machine, chlorinated",classifier
6_industrial_products_and_services,"Dishwashing machine, commercial",classifier
6_industrial_products_and_services,"Dishwashing machine, domestic",classifier
6_industrial_products_and_services,"Dishwashing machines, commercial - repair and overhaul",classifier
6_industrial_products_and_services,"Disinfectant-detergent, general purpose, liquid, can/cgsb-2.160-95, type 2",classifier
1_facilities_and_construction,Disinfecting and exterminating,classifier
6_industrial_products_and_services,"Disintegrator, paper, with sound enclosures, security, seac",classifier
6_industrial_products_and_services,"Disk and hubs, axial-centrifugal compressor",classifier
3_information_technology,"Disk, optical",classifier
6_industrial_products_and_services,"Disks and stones, abrasive",manual
1_facilities_and_construction,Dispensers (bathroom/washroom fixtures),classifier
10_office_management,Dispensers (office device),classifier
10_office_management,"Dispensers, beverage",classifier
10_office_management,"Dispensers, drinking water, mechanically cooled",classifier
3_information_technology,"Display boards, electronic, except armoured fighting vehicles an",classifier
3_information_technology,"Display boards, electronic, except armoured fighting vehicles and aircraft",classifier
6_industrial_products_and_services,"Display forms, mannequin",classifier
6_industrial_products_and_services,Displays and scale models,classifier
6_industrial_products_and_services,"Disposal equipment, fluorescent lamp (bulb)",classifier
1_facilities_and_construction,"Distillation equipment, water (includes electric, steam, automatic",classifier
5_transportation_and_logistics,Distress beacon (airborne),classifier
10_office_management,Distribution of promotional material,manual
10_office_management,Distribution services: film and video,classifier
1_facilities_and_construction,Ditchers,classifier
6_industrial_products_and_services,Diver suit and accessories,manual
2_professional_services,Diving and salvage services,classifier
6_industrial_products_and_services,Diving boards,classifier
6_industrial_products_and_services,"Diving equipment set, aqua-lung and miscellaneous parts",classifier
5_transportation_and_logistics,"Dockage, towage, wharfage and moving fees (harbours and ports) - towing services related to lyubov orlova",classifier
3_information_technology,Document hosting service,manual
10_office_management,Document management and printing,manual
5_transportation_and_logistics,Dodge grand caravan purchase,manual
3_information_technology,Domain tools subscription,manual
1_facilities_and_construction,"Door and window hardware, installation and replacement",manual
1_facilities_and_construction,Doors and windows installation and repair services,manual
1_facilities_and_construction,"Doors metal overhead, installation and repair",classifier
1_facilities_and_construction,"Doors, garage metal",classifier
1_facilities_and_construction,"Doors, metal construction",classifier
1_facilities_and_construction,"Doors, metal, automatic opening and closing",classifier
1_facilities_and_construction,"Doors, metal, cold storage",classifier
1_facilities_and_construction,"Doors, metal, security",classifier
1_facilities_and_construction,"Doors, metal, sliding",classifier
1_facilities_and_construction,"Doors, overhead, metal construction",classifier
1_facilities_and_construction,"Doors, shielded, maintenance and repairs",manual
1_facilities_and_construction,"Doors, steel",manual
1_facilities_and_construction,"Doors, wood",manual
1_facilities_and_construction,"Doors, wood construction",classifier
1_facilities_and_construction,"Doors, wood, overhead",classifier
10_office_management,Dough proofer (all types),classifier
6_industrial_products_and_services,"Doughnuts, muffins and danish pastry",classifier
3_information_technology,Drafting accessories (n.e.s.),classifier
1_facilities_and_construction,Drafting and design services,manual
6_industrial_products_and_services,"Drafting boards, tables, machines, stands, filing cases",classifier
6_industrial_products_and_services,Drafting equipment and instruments,classifier
6_industrial_products_and_services,"Drafting instruments (includes sets, pens, scales)",classifier
3_information_technology,"Drafting system, computer aided",classifier
2_professional_services,Drafting work descriptions,classifier
6_industrial_products_and_services,"Drafting, surveying and mapping instruments",manual
6_industrial_products_and_services,"Drafting, surveying and mapping instruments - repair",classifier
6_industrial_products_and_services,"Drafting, surveying, and mapping instruments",classifier
1_facilities_and_construction,Drainage works,manual
1_facilities_and_construction,"Draperies, awnings and shades",manual
1_facilities_and_construction,"Draperies, awnings and shades - installation",classifier
1_facilities_and_construction,"Draperies, awnings, and shades",classifier
1_facilities_and_construction,"Draperies/curtains, cloth-supply and installation (including har",classifier
1_facilities_and_construction,"Draperies/curtains, cloth-supply and installation (including hardware)",manual
1_facilities_and_construction,Drapery rods and hooks,classifier
2_professional_services,Drawings and specifications,manual
4_medical,"Dressing materiel, wound treatment",classifier
6_industrial_products_and_services,"Drill bits, counterbores and countersinks, hand and machine",manual
6_industrial_products_and_services,"Drill presses, bench and pedestal",classifier
6_industrial_products_and_services,Drilling and tapping machines,classifier
6_industrial_products_and_services,"Drilling machines, paper, power operated",classifier
1_facilities_and_construction,Drilling services - exploratory and test (excluding water well d,classifier
1_facilities_and_construction,Drilling services - exploratory and test (excluding water well drilling),classifier
6_industrial_products_and_services,"Drills, electric, portable",classifier
9_human_capital,Driver training,manual
6_industrial_products_and_services,"Driver, stud, powder actuated",classifier
6_industrial_products_and_services,"Drives, electrical, solid-state",classifier
5_transportation_and_logistics,Drones,classifier
5_transportation_and_logistics,"Drones, unmanned air vehicle manufacturers",classifier
4_medical,Drugs and biologicals,manual
4_medical,"Drugs and biologicals, veterinary use",classifier
6_industrial_products_and_services,Drums and cans,manual
6_industrial_products_and_services,"Drums, shipping and storage",classifier
10_office_management,Dry cleaning services,manual
5_transportation_and_logistics,Drydock services,classifier
5_transportation_and_logistics,Drydocks - floating,classifier
1_facilities_and_construction,"Dryer, laundry, commercial",classifier
1_facilities_and_construction,"Dryers, dehydrators and anhydrators",manual
1_facilities_and_construction,Drywall and stucco services,classifier
10_office_management,Dual arms and keyboard tray,manual
1_facilities_and_construction,"Ducts, exhaust",classifier
1_facilities_and_construction,Ductwork - repair and cleaning services,manual
6_industrial_products_and_services,"Duplicating fluid, direct process, azagraph",classifier
3_information_technology,"Duplicators, video",classifier
3_information_technology,Duress alarm - monitoring - cas,manual
3_information_technology,"Dust covers, micro computers, printers, plotters, terminals etc.",classifier
1_facilities_and_construction,Dwellings and apartments - rental,classifier
6_industrial_products_and_services,Dyes,classifier
5_transportation_and_logistics,"Dynamometer, automotive",classifier
1_facilities_and_construction,E110a - environmental site investigation,classifier
2_professional_services,E199d - environmental services,classifier
9_human_capital,Earmarked fees and levies - payments,classifier
5_transportation_and_logistics,Earth and rock hauling trucks and trailers,classifier
5_transportation_and_logistics,Earth and rock hauling trucks and trailers - rental,classifier
1_facilities_and_construction,Earth moving and excavating equipment,classifier
2_professional_services,Earth sciences (r&d),classifier
1_facilities_and_construction,Earthmoving and excavating equipment,manual
1_facilities_and_construction,Earthmoving and excavating equipment - leasing,manual
1_facilities_and_construction,Earthmoving and excavating equipment - rental,manual
1_facilities_and_construction,Earthmoving and excavating equipment - repair,manual
1_facilities_and_construction,Eavestroughing services,classifier
9_human_capital,"Ecclesiastical equipment, furnishings and supplies",classifier
9_human_capital,"Ecclesiastical equipment, furnishings, and supplies",classifier
3_information_technology,Echo sounder equipment,classifier
3_information_technology,"Echo sounders, sonar systems other than asw",classifier
2_professional_services,Economics (r&d),classifier
3_information_technology,Ecourtroom - toronto - crestron avso,manual
3_information_technology,Ecourtroom - toronto - polycom vcso,manual
3_information_technology,Ecourtroom - toronto - samsung avso,manual
3_information_technology,Ecourtroom project,manual
2_professional_services,Editing - english text (writing service activity),classifier
2_professional_services,Editing - french text (writing service activity),manual
2_professional_services,Editing services,manual
2_professional_services,Editorial service,classifier
9_human_capital,Edp training,manual
9_human_capital,Education-non-public servants,manual
9_human_capital,Education—non-public servants,manual
9_human_capital,"Education - elementary, secondary, college, univer",manual
9_human_capital,"Education - elementary, secondary, college, university",manual
9_human_capital,"Education - elementary, secondary, college, university and special",manual
9_human_capital,"Education - elementary, secondary, college, university and special education",manual
9_human_capital,Education - non-public servants,manual
9_human_capital,Education and training services,manual
9_human_capital,Education services,manual
9_human_capital,Educational & training service,classifier
9_human_capital,Educational and training services,classifier
9_human_capital,Educational services,manual
9_human_capital,Educational services-adp training,classifier
9_human_capital,Educational services-business training,manual
9_human_capital,Educational services - adp training,manual
9_human_capital,Educational services - business training,manual
9_human_capital,"Educational services, n.e.s.",manual
2_professional_services,Educational studies,manual
10_office_management,Eggs,classifier
10_office_management,"Eggs, fresh",classifier
10_office_management,"Eggs, fresh (replaced by gsin n8910zd)",classifier
9_human_capital,Eikon for commodities information service licence,manual
9_human_capital,Elec subsc &,manual
6_industrial_products_and_services,Electric arc welding equipment,manual
1_facilities_and_construction,Electric arc welding equipment - repair,classifier
1_facilities_and_construction,Electric lamps,manual
1_facilities_and_construction,"Electric lighting, distribution and control eqpt",manual
1_facilities_and_construction,"Electric lighting, distribution and control equipm",manual
1_facilities_and_construction,"Electric lighting, distribution and control equipment",manual
1_facilities_and_construction,"Electric lighting, distribution and control equipment and parts",manual
1_facilities_and_construction,"Electric lighting, distribution, and control equip",manual
1_facilities_and_construction,"Electric lighting, distribution, and control equipment",manual
6_industrial_products_and_services,Electric portable and hand lighting equipment,manual
6_industrial_products_and_services,Electric portable and hand lighting equipment - repair,classifier
1_facilities_and_construction,Electric power installations,manual
6_industrial_products_and_services,Electric resistance welding equipment,classifier
6_industrial_products_and_services,Electric seal - t2e-md,manual
5_transportation_and_logistics,Electric vehicular lights and fixtures,manual
1_facilities_and_construction,Electric wire / power dist equ,classifier
1_facilities_and_construction,"Electric wire, and power and distribution equipment",manual
1_facilities_and_construction,"Electric wire, and power and distribution equipment - repair",manual
3_information_technology,Electrical & electronic equip,classifier
3_information_technology,"Electrical and electronic assemblies, boards, cards and associat",classifier
3_information_technology,"Electrical and electronic assemblies, boards, cards and associated hardware",manual
3_information_technology,"Electrical and electronic assemblies, boards, cards, and associa",classifier
3_information_technology,"Electrical and electronic assemblies, boards, cards, and associated hardware - repair",manual
3_information_technology,"Electrical and electronic assemblies; boards, cards, and associated hardware",classifier
3_information_technology,Electrical and electronic equipment component,classifier
3_information_technology,Electrical and electronic equipment components,classifier
1_facilities_and_construction,"Electrical and electronic installations, operation and maintenan",classifier
6_industrial_products_and_services,Electrical and electronic properties measuring and testing instr,classifier
6_industrial_products_and_services,Electrical and electronic properties measuring and testing instruction,classifier
6_industrial_products_and_services,Electrical and electronic properties measuring and testing instruments,manual
6_industrial_products_and_services,Electrical and electronic properties measuring and testing instruments - rental,classifier
6_industrial_products_and_services,"Electrical and electronic properties, measuring and testing instruments - installation",manual
6_industrial_products_and_services,"Electrical and electronic properties, measuring and testing instruments - repair and overhaul",manual
6_industrial_products_and_services,Electrical and electronic test equipment - repair and overhaul,classifier
6_industrial_products_and_services,"Electrical and electronic test equipment, calibration services -",classifier
1_facilities_and_construction,"Electrical and electronic test equipment, calibration services - repair",classifier
1_facilities_and_construction,"Electrical and electronic test equipment, calibration services -repair",classifier
6_industrial_products_and_services,Electrical and ultrasonic erosion machines,classifier
6_industrial_products_and_services,Electrical contact brushes and electrodes,classifier
1_facilities_and_construction,"Electrical contractor services, class a licence",manual
1_facilities_and_construction,Electrical control equipment,manual
1_facilities_and_construction,Electrical control equipment - repair,manual
1_facilities_and_construction,"Electrical control equipment, accessories and hardware",classifier
1_facilities_and_construction,Electrical discharge machine,classifier
3_information_technology,"Electrical equipment accessories, n.e.s.",classifier
3_information_technology,"Electrical goods (cabling, phones)",manual
1_facilities_and_construction,Electrical hardware and supplies,manual
1_facilities_and_construction,Electrical hardware and supplies - repair,manual
1_facilities_and_construction,Electrical inspections,classifier
1_facilities_and_construction,Electrical installation and major repairs,classifier
1_facilities_and_construction,Electrical installations and major repairs,manual
1_facilities_and_construction,Electrical installations and major repairs (marine),classifier
1_facilities_and_construction,Electrical installations and major repairs (other than marine),classifier
1_facilities_and_construction,Electrical insulators and insulating materials,manual
1_facilities_and_construction,Electrical part (op athena kabul ),classifier
1_facilities_and_construction,Electrical part (op athena kaul ),classifier
1_facilities_and_construction,Electrical power and distribution equipment - repair and overhaul,manual
1_facilities_and_construction,Electrical work,classifier
10_office_management,Electricity,manual
10_office_management,Electricity services,manual
3_information_technology,Electro-optics technology (r&d),classifier
6_industrial_products_and_services,Electrodes welding,classifier
6_industrial_products_and_services,Electrodes welding wire,classifier
6_industrial_products_and_services,Electroencephalograph,classifier
1_facilities_and_construction,Electromagnetic instrumentation,classifier
1_facilities_and_construction,Electromagnetic survey services: r.w. for mapping,classifier
6_industrial_products_and_services,Electromagnetic technology,classifier
6_industrial_products_and_services,Electromagnetic technology (r&d),manual
6_industrial_products_and_services,Electron tubes and associated hardware,manual
6_industrial_products_and_services,"Electron tubes, cathode ray, avionics",classifier
6_industrial_products_and_services,"Electron tubes, electro-optical, camera",classifier
6_industrial_products_and_services,"Electron tubes, electro-optical, plasma display",classifier
6_industrial_products_and_services,"Electron tubes, special",classifier
6_industrial_products_and_services,"Electron tubes, special, surge arresters/protectors",classifier
10_office_management,Electronic (laser) printing,classifier
11_defence,"Electronic countermeasures, counter-countermeasures and quick re",classifier
11_defence,"Electronic countermeasures, counter-countermeasures and quick reaction capability equipment",manual
11_defence,"Electronic countermeasures, counter-countermeasures and quick reaction capability equipment - repair",classifier
3_information_technology,Electronic court room equipment,manual
9_human_capital,Electronic data interchange (edi) services,classifier
3_information_technology,Electronic identification devices - rfid,manual
3_information_technology,Electronic instruments and recorders,manual
3_information_technology,Electronic mail services,classifier
2_professional_services,Electronic map production using existing and new data.,manual
6_industrial_products_and_services,"Electronic message signs (led,lcd,etc.)",manual
11_defence,Electronic military countermeasures (research),classifier
11_defence,Electronic modules,manual
1_facilities_and_construction,Electronic modules - repair,manual
9_human_capital,Electronic news subscription,manual
10_office_management,Electronic printing direct mail,manual
10_office_management,Electronic printing on demand,classifier
3_information_technology,Electronic publishing systems includes hardware and software,classifier
11_defence,Electronic specialties,manual
9_human_capital,Electronic subscription and electronic publications,classifier
9_human_capital,Electronic subscriptions,manual
9_human_capital,Electronic subscriptions & electronic publications,manual
9_human_capital,Electronic subscriptions and electronic publicatio,manual
9_human_capital,Electronic subscriptions and electronic publications,manual
9_human_capital,Electronic subscriptions and electronic publications expenses for electronic subscriptions and electronic publications including the electronic media monitoring program.,manual
9_human_capital,Electronic subsriptions,classifier
9_human_capital,Electronic suscriptions,classifier
3_information_technology,Electronic test equipment n.e.s.,classifier
3_information_technology,Electronics (r&d),classifier
6_industrial_products_and_services,"Elements, small appliances (spare parts)",classifier
1_facilities_and_construction,Elevator installation,manual
1_facilities_and_construction,Elevator installation / modernization,manual
1_facilities_and_construction,Elevator installation and maintenance services,classifier
1_facilities_and_construction,Elevator maintenance (buildings),manual
1_facilities_and_construction,Elevators,manual
1_facilities_and_construction,Elevators - repair,manual
1_facilities_and_construction,Elevators special design (for persons with disabilities),classifier
5_transportation_and_logistics,"Elevators, portable",classifier
6_industrial_products_and_services,Embossing machines,manual
6_industrial_products_and_services,"Embossing machines, identification tape",classifier
9_human_capital,Emergency assistance request systems,classifier
9_human_capital,Employee assistance program - eap,manual
9_human_capital,Employee language training,manual
7_travel,Employee relocation in canada,manual
7_travel,Employee relocation outside canada and/or return,manual
9_human_capital,Employment / training program evaluation,classifier
6_industrial_products_and_services,Enamels,classifier
6_industrial_products_and_services,"Enclosures, prefabricated, special purpose, electromagnetic shie",classifier
