economic_object_code,category
590,3_information_technology
600,1_facilities_and_construction
601,5_transportation_and_logistics
607,1_facilities_and_construction
608,1_facilities_and_construction
611,1_facilities_and_construction
619,1_facilities_and_construction
624,1_facilities_and_construction
625,1_facilities_and_construction
628,1_facilities_and_construction
630,1_facilities_and_construction
631,1_facilities_and_construction
632,1_facilities_and_construction
634,1_facilities_and_construction
635,1_facilities_and_construction
639,1_facilities_and_construction
640,1_facilities_and_construction
645,1_facilities_and_construction
646,1_facilities_and_construction
655,6_industrial_products_and_services
656,1_facilities_and_construction
658,1_facilities_and_construction
660,1_facilities_and_construction
662,1_facilities_and_construction
664,3_information_technology
665,3_information_technology
666,3_information_technology
667,3_information_technology
668,3_information_technology
669,3_information_technology
670,3_information_technology
671,10_office_management
672,3_information_technology
673,3_information_technology
675,5_transportation_and_logistics
676,5_transportation_and_logistics
681,11_defence
682,5_transportation_and_logistics
683,5_transportation_and_logistics
685,1_facilities_and_construction
700,1_facilities_and_construction
701,1_facilities_and_construction
702,1_facilities_and_construction
703,1_facilities_and_construction
705,1_facilities_and_construction
709,1_facilities_and_construction
715,10_office_management
737,10_office_management
743,3_information_technology
746,3_information_technology
768,1_facilities_and_construction
779,1_facilities_and_construction
787,3_information_technology
798,10_office_management
810,2_professional_services
811,1_facilities_and_construction
812,3_information_technology
813,2_professional_services
815,2_professional_services
816,2_professional_services
819,10_office_management
821,9_human_capital
822,10_office_management
823,9_human_capital
851,2_professional_services
852,2_professional_services
853,2_professional_services
854,5_transportation_and_logistics
855,2_professional_services
856,2_professional_services
859,2_professional_services
860,2_professional_services
881,1_facilities_and_construction
890,2_professional_services
891,2_professional_services
892,2_professional_services
899,2_professional_services
910,10_office_management
911,3_information_technology
915,3_information_technology
920,3_information_technology
924,3_information_technology
961,3_information_technology
962,3_information_technology
1111,6_industrial_products_and_services
1112,10_office_management
1113,10_office_management
1114,10_office_management
1115,10_office_management
1116,10_office_management
1121,6_industrial_products_and_services
1122,5_transportation_and_logistics
1123,5_transportation_and_logistics
