economic_object_code,count,category,category_number,example_description_en
299,,5_transportation_and_logistics,5,Usage of inventory
300,11,2_professional_services,2,Advertising services
301,2370,2_professional_services,2,Advertising services
302,31,3_information_technology,3,Information systems - other than categorized under edp professional services d
309,,2_professional_services,2,Promotional Items
311,712,2_professional_services,2,Publishing services
315,,2_professional_services,2,On line publishing services
321,3197,10_office_management,10,Printing services
322,255,10_office_management,10,Imaging services
323,6,2_professional_services,2,Communication professional services and media monitoring
324,,2_professional_services,2,Other Professional Services and Related Costs
326,,9_human_capital,9,Electronic-Web Services Subscriptions and Publications
327,13,9_human_capital,9,Data and database access services
331,1279,2_professional_services,2,Exposition services
332,1840,3_information_technology,3,Audio-visual services
341,1662,2_professional_services,2,Communications research services
351,5608,2_professional_services,2,Communications professional services not elsewhere specified
352,1536,2_professional_services,2,Public relations services
353,,2_professional_services,2,Other communications professional services
361,2431,9_human_capital,9,Electronic subscriptions and electronic publications
362,2404,9_human_capital,9,Data and database access services
400,,2_professional_services,2,Research Services
401,3847,2_professional_services,2,Accounting and audit services
402,233,9_human_capital,9,Pre-retirement planning training
403,23,2_professional_services,2,Financial management services
404,81,2_professional_services,2,Communications services
405,9,3_information_technology,3,Informatics professional services
406,,2_professional_services,2,Material services
407,7,2_professional_services,2,Acquisition services
408,,2_professional_services,2,Other Professional Services and Related Costs
409,,2_professional_services,2,Program Evaluation and Program Audit
410,1724,2_professional_services,2,Legal services
411,5,2_professional_services,2,Information technology specialists
414,13,2_professional_services,2,Human resources services
416,6,2_professional_services,2,Other professional services and related costs
420,5483,1_facilities_and_construction,1,Engineering services not elsewhere specified
421,3369,1_facilities_and_construction,1,Architectural services
422,9609,1_facilities_and_construction,1,Engineering consultants-construction
423,6368,1_facilities_and_construction,1,Engineering consultants-other
424,,3_information_technology,3,IT Consultants - IT Security Services
425,,3_information_technology,3,Other Professional Services
427,,3_information_technology,3,Computer Services - IT Solutions / Deliverables - Application / Database Development and Maintenance (ADDM)
430,16286,2_professional_services,2,Scientific services
431,6912,2_professional_services,2,Scientific consultants
434,,2_professional_services,2,Other Professional Services and Related Costs
440,314,9_human_capital,9,"Education - elementary, secondary, college, university and special"
443,,9_human_capital,9,0443 - Staff Development Training
444,937,9_human_capital,9,Teachers and instructors on contract
445,361,9_human_capital,9,Tuition fees for courses where employees take training on their own time
446,5775,9_human_capital,9,Training consultants
447,14429,9_human_capital,9,Tuition fees and costs of attending courses including seminars not elsewhere specified
448,2358,9_human_capital,9,Purchase of training packages and courses
449,,9_human_capital,9,0499 OTHER PROFESSIONAL SERVCS
450,22,4_medical,4,Hospital services
451,3673,4_medical,4,Other health services not elsewhere specified
452,2338,4_medical,4,Welfare services
453,2200,4_medical,4,Physicians and surgeons
454,79,4_medical,4,Paramedical personnel
455,1050,4_medical,4,Dental services
460,12354,8_security_and_protection,8,Protection services
462,,2_professional_services,2,Other Professional Services and Related Costs
466,,2_professional_services,2,Nunavut History and Governance Training
467,,2_professional_services,2,Real estate broker service
470,,2_professional_services,2,Other Professional Services and Related Costs
471,76,3_information_technology,3,Telecommunications consultants
472,8233,3_information_technology,3,Information technology consultants - informatics services
473,34646,3_information_technology,3,Information technology and telecommunications consultants
474,87,3_information_technology,3,Information management services
475,1752,3_information_technology,3,Information technology services
476,,3_information_technology,3,Consultants en technologie de l’information et télécommunications
477,,3_information_technology,3,Tuition fees and costs of attending courses including seminars not elsewhere specified
478,,3_information_technology,3,Consultants en technologie de l’information et télécommunications
479,,3_information_technology,3,Consultants en technologie de l’information et télécommunications
480,,3_information_technology,3,Consultants en technologie de l’information et télécommunications
481,,3_information_technology,3,Consultants en technologie de l’information et télécommunications
482,,3_information_technology,3,0582 – License/Maintenance fees for Client Software related to Distributed Computing Environment (DCE)
