d_most_recent_category,d_fiscal_year,total
10_office_management,2018-2019,133611.5777207392
10_office_management,2019-2020,44659.21227926078
11_defence,2017-2018,196626.5261541096
11_defence,2018-2019,266705.79267269606
11_defence,2019-2020,275767.9078118846
11_defence,2020-2021,211402.35919692623
2_professional_services,2017-2018,385034.55987922556
2_professional_services,2018-2019,588888.5601056481
2_professional_services,2019-2020,1663889.7005439184
2_professional_services,2020-2021,842577.619773555
3_information_technology,2017-2018,11135339.574357007
3_information_technology,2018-2019,11439884.857127002
3_information_technology,2019-2020,18254461.853751436
3_information_technology,2020-2021,16903620.675788064
9_human_capital,2017-2018,46182.92
9_human_capital,2019-2020,13892.220000000001
9_human_capital,2020-2021,47301.8
