d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,7266166.53,7490273.61
1_facilities_and_construction,2018-2019,5602433.21,5706862.29
1_facilities_and_construction,2019-2020,3829405.22,3795965.08
1_facilities_and_construction,2020-2021,3767852.07,3592675.87
1_facilities_and_construction,2021-2022,1986515.14,1856632.90
10_office_management,2017-2018,149855.01,154365.80
11_defence,2017-2018,3787953.00,3903094.35
11_defence,2018-2019,2122343.85,2158468.59
11_defence,2019-2020,2147086.02,2130882.47
11_defence,2020-2021,2715196.08,2590495.18
11_defence,2021-2022,3231679.87,3019230.86
2_professional_services,2017-2018,2727658.48,2809741.23
2_professional_services,2018-2019,4993296.75,5081105.48
2_professional_services,2019-2020,5503615.90,5455956.40
2_professional_services,2020-2021,5287695.30,5040666.38
2_professional_services,2021-2022,6080498.73,5691524.21
3_information_technology,2017-2018,595793.31,613588.49
3_information_technology,2018-2019,763698.41,777516.67
3_information_technology,2019-2020,941686.55,934054.25
3_information_technology,2020-2021,576569.54,549404.48
3_information_technology,2021-2022,332678.93,312048.44
6_industrial_products_and_services,2017-2018,36676.03,37795.75
6_industrial_products_and_services,2018-2019,40324.77,40668.67
6_industrial_products_and_services,2020-2021,25194.50,24208.76
6_industrial_products_and_services,2021-2022,12755.11,11935.73
8_security_and_protection,2020-2021,1276.25,1210.45
8_security_and_protection,2021-2022,155276.83,145302.01
9_human_capital,2017-2018,608669.77,627744.46
9_human_capital,2018-2019,365432.43,372616.50
9_human_capital,2019-2020,247494.53,245508.36
9_human_capital,2020-2021,625123.04,596455.21
9_human_capital,2021-2022,1056658.12,987535.51
