d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,7435949.101566794
1_facilities_and_construction,2018-2019,5739766.181281871
1_facilities_and_construction,2019-2020,3848175.35987809
1_facilities_and_construction,2020-2021,3767852.065566676
10_office_management,2017-2018,149855.01017811705
11_defence,2017-2018,2382381.4919300172
11_defence,2018-2019,2006604.9885038722
11_defence,2019-2020,2211723.8038018113
11_defence,2020-2021,1414972.74301895
2_professional_services,2017-2018,4402788.847245612
2_professional_services,2018-2019,5482969.717302521
2_professional_services,2019-2020,5927609.309797946
2_professional_services,2020-2021,8325208.254952953
3_information_technology,2017-2018,219543.068852459
3_information_technology,2018-2019,435506.63114754093
3_information_technology,2019-2020,498922.99999999994
3_information_technology,2020-2021,218349.9
6_industrial_products_and_services,2017-2018,36676.03
6_industrial_products_and_services,2018-2019,40324.77
6_industrial_products_and_services,2020-2021,25194.496527249685
8_security_and_protection,2020-2021,1276.2479446640318
9_human_capital,2017-2018,396652.1285081754
9_human_capital,2018-2019,246818.31181569342
9_human_capital,2019-2020,247494.52636861312
9_human_capital,2020-2021,625123.041339966
NA,2017-2018,100361.98838926175
