d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,392552216.82
1_facilities_and_construction,2018-2019,450110751.35
1_facilities_and_construction,2019-2020,509402327.48
1_facilities_and_construction,2020-2021,397468064.69
2_professional_services,2017-2018,34578427.29
2_professional_services,2018-2019,34578427.29
2_professional_services,2019-2020,34777931.47
2_professional_services,2020-2021,3419205.00
6_industrial_products_and_services,2019-2020,310479.91
6_industrial_products_and_services,2020-2021,219793.33
