d_fiscal_year,total,total_constant_2019_dollars
2017-2018,659002.79,678987.46
2018-2019,1246593.89,1270775.96
2019-2020,2403239.76,2381773.10
2020-2021,3986085.57,3792603.17
2021-2022,6929760.69,6437253.66
2022-2023,5880930.98,5263730.90
