d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2018-2019,660928.050443913
1_facilities_and_construction,2019-2020,1780432.5008759445
1_facilities_and_construction,2020-2021,1342406.2218684645
2_professional_services,2017-2018,13212.709580838324
2_professional_services,2020-2021,69611.20666666667
5_transportation_and_logistics,2018-2019,179222.52969769726
5_transportation_and_logistics,2019-2020,123179.53021099229
5_transportation_and_logistics,2020-2021,613419.7781984607
9_human_capital,2018-2019,3322.980945945946
9_human_capital,2019-2020,15592.449054054054
