d_most_recent_category,total,percentage
2_professional_services,45429661.43,0.5688103924752826
3_information_technology,23982614.90,0.30027872022788393
10_office_management,5168051.36,0.06470753307324478
9_human_capital,3993206.83,0.04999767718470005
8_security_and_protection,924169.84,0.011571237642012865
1_facilities_and_construction,203421.07,0.00254697069452635
5_transportation_and_logistics,118204.28,0.0014799983265660485
6_industrial_products_and_services,24991.08,3.129053920812194e-4
7_travel,17516.67,2.1932067338855836e-4
4_medical,6009.60,7.524431031346243e-5
