d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,17566.3
2_professional_services,2017-2018,265596.29
2_professional_services,2018-2019,227262.90929936306
2_professional_services,2019-2020,958734.865924981
2_professional_services,2020-2021,290161.7060478859
3_information_technology,2017-2018,27026.0198019802
3_information_technology,2019-2020,30962.770000000004
7_travel,2019-2020,2898.586564417178
7_travel,2020-2021,31744.633435582822
9_human_capital,2017-2018,1434091.7
9_human_capital,2018-2019,1707669.06
9_human_capital,2019-2020,2062521.593803494
9_human_capital,2020-2021,3584296.0603312566
