d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1744280.31,1787628.69
2018-2019,1934931.97,1958852.21
2019-2020,3055117.82,3005271.75
2020-2021,3906202.40,3701503.27
2021-2022,4103672.14,2441128.95
