normalized_vendor_name,original_vendor_name
QMR,QMR
QMR,QMR Staffing Solutions Inc.
QMR,QMR STAFFING SOLUTIONS INC.
QMR,QMR STAFFING SOLUTIONS INC
QMR,QMR CONSULTING AND PROFESSIONAL
QMR,QMR CONSULTING AND PROFESSIONAL STAFFING
QMR,QMR CONSULTING & PROFESSIONAL STAFF
QMR,QMR Consulting & Professional Staffing
QMR,QMR Consulting and Professional Staffing
QMR,QMR STAFFING SOLUTIONS INCORPORATED
QMR,QMR CONSULTING & PROFESSIONAL
QMR,QMR CONSULTING & PROFESSIONAL STAFFING
QMR,QMR Consulting & Proffessional Staffing
QMR,QMR Consulting & Professional Services
QMR,QMR Staffing Solutions Incorporated
QMR,QMR CONSULTING AND WINDREACH CONSUL
QMR,QMR STAFFING
QMR,QMR Consultanting and Professional Services
QMR,QMR STAFFING SOLUTIONS
QMR,QMR Consulting and Professional Stafffing
QMR,QMR CONSULTING &
QMR,QMR Consulting & Professional
QMR,QMR CONSULTING & PROF STAFFING
QMR,QMR Consulting& Professional Staffing
QMR,QMR Consulting Inc.
QMR,QMR Staffing Solutions Inc
QMR,Qmr Staffing Solutions Incorporated
QMR,QMR Staffing Solutions
QMR,QMR Staffing Solution Inc.
QMR,QMR Staffing Services Incorporated
QMR,QMR CONSULTING INC
QMR,QMR Consulting& Professional
QMR,"1336953 QMR STAFFING SOLUTIONS INC., QMR"
QMR,QMR Consulting
QMR,QMR CONSULTING
QMR,QMR CONSULTING & PROFESSIONAL STAFF ING
QMR,"QMR Consulting & 
Professional Staffing"
QMR,QMR Consulting Professional Staffing
QMR,QMR STAFFING SOLUTIONS INCORPORATED WINDREACH CONSULTING SERVICES INC IN JOINT VENTURE
QMR,"QMR Staffing Solutions Incorporated, o/a QMR Consulting & Professional Staffing"
QMR,QMR STAFFING SOLUTION INC.
QMR,QMR STAFFING SOLUTIONS / WINDREACH CONSULTING (in Joint Venture)
QMR,QMR Consulting and Professional Services
QMR,QMR Consulting and Professional Staffing.
QMR,QMR Staffing
QMR,QMR CONSULTING AND PROFESISONAL STAFFING
QMR,QMR Stafffing Solutions Inc.
QMR,QMR Consulting & Prof. Staf.
