d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,564566.46,578847.72
it_consulting_services,2018-2019,640598.46,650018.74
it_consulting_services,2019-2020,782158.72,775568.96
it_consulting_services,2020-2021,1122609.63,1066884.79
it_consulting_services,2021-2022,1284965.38,1192113.62
it_devices_equipment,2019-2020,99615.00,99283.28
it_other,2017-2018,301032.00,308832.72
it_other,2018-2019,542479.20,550825.07
it_other,2019-2020,558674.27,553959.63
it_other,2020-2021,438617.93,417200.21
it_other,2021-2022,196022.29,181995.91
