owner_org,d_fiscal_year,total
aafc-aac,2017-2018,25237.676174496646
aafc-aac,2018-2019,9161.073825503356
csa-asc,2017-2018,72918.1953789731
csa-asc,2018-2019,72918.1953789731
csa-asc,2019-2020,73117.97125672371
csa-asc,2020-2021,54738.59050366748
dfatd-maecd,2019-2020,21808
dfo-mpo,2017-2018,10477.949999999999
dfo-mpo,2019-2020,471359.75
dfo-mpo,2020-2021,65100
dnd-mdn,2017-2018,53586.15914364848
dnd-mdn,2018-2019,309794.11505326006
dnd-mdn,2019-2020,575438.2308487617
dnd-mdn,2020-2021,1605605.57093479
ec,2017-2018,63535.13
ec,2018-2019,20000
ec,2019-2020,42730
ec,2020-2021,220791.84571180644
esdc-edsc,2019-2020,25300
esdc-edsc,2020-2021,12399.093721973095
hc-sc,2017-2018,42844
hc-sc,2019-2020,82283.46456692913
hc-sc,2020-2021,17716.535433070865
nrc-cnrc,2018-2019,42922.090119250424
nrc-cnrc,2019-2020,358862.76824786013
nrc-cnrc,2020-2021,204565.29817837215
nrcan-rncan,2017-2018,240159.5744680851
nrcan-rncan,2018-2019,210888.41
nrcan-rncan,2019-2020,235506.9
nrcan-rncan,2020-2021,128593.2
pc,2018-2019,2817.7570093457944
pc,2019-2020,15392.52336448598
pc,2020-2021,15350.467289719625
phac-aspc,2017-2018,124844.93893567263
phac-aspc,2018-2019,176079.4022972858
phac-aspc,2019-2020,77335.01101796408
phac-aspc,2020-2021,8030.135135135135
sshrc-crsh,2019-2020,5531.0526315789475
sshrc-crsh,2020-2021,22492.947368421053
tc,2017-2018,25000
vac-acc,2020-2021,16065.573770491803
