d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2018-2019,137984.38,140472.83
11_defence,2019-2020,423483.00,415087.46
11_defence,2020-2021,658878.18,628320.42
11_defence,2021-2022,1860214.90,1722842.57
6_industrial_products_and_services,2021-2022,25386.00,22928.64
