d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,7744540.621762981
1_facilities_and_construction,2018-2019,6164961.155530734
1_facilities_and_construction,2019-2020,4160366.4117173078
1_facilities_and_construction,2020-2021,6756051.575204948
2_professional_services,2017-2018,2964667.2963990737
2_professional_services,2018-2019,5407032.243301061
2_professional_services,2019-2020,4039575.4118119543
2_professional_services,2020-2021,3628234.503338614
3_information_technology,2017-2018,922569.9622221529
3_information_technology,2018-2019,1421284.6307512622
3_information_technology,2019-2020,1796841.2889483722
3_information_technology,2020-2021,894581.1934915927
