d_fiscal_year,total,total_constant_2019_dollars
2017-2018,21026.13,21673.00
2018-2019,17192.55,17470.82
2019-2020,2477337.74,2447347.51
2020-2021,2086498.81,1983037.45
2021-2022,3098646.32,2880182.61
2022-2023,3088827.99,2761034.00
