d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,43884.36
1_facilities_and_construction,2018-2019,6149274.330592104
1_facilities_and_construction,2019-2020,6352090.809605262
1_facilities_and_construction,2020-2021,12919227.458266392
2_professional_services,2017-2018,158191.18
2_professional_services,2018-2019,23233.18
2_professional_services,2019-2020,15570.500506329116
2_professional_services,2020-2021,9532.959493670887
3_information_technology,2019-2020,14621.310000000001
3_information_technology,2020-2021,16124.0338630137
6_industrial_products_and_services,2019-2020,2935811.23
