d_fiscal_year,total,total_constant_2019_dollars
2017-2018,202075.54,207848.99
2018-2019,6172507.51,6251279.34
2019-2020,9318093.85,9298862.55
2020-2021,12944884.45,12657871.65
2021-2022,13448769.26,10216801.92
