d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2019-2020,2234.408823529412
1_facilities_and_construction,2020-2021,27185.307352941178
10_office_management,2017-2018,74482
10_office_management,2018-2019,12083.859999999999
10_office_management,2020-2021,30736
11_defence,2017-2018,698027.929119504
11_defence,2018-2019,824517.3434713737
11_defence,2019-2020,490202.3691130909
11_defence,2020-2021,746922.8429030229
2_professional_services,2017-2018,51156.49315068493
2_professional_services,2018-2019,66559.7766224315
2_professional_services,2019-2020,56484.13653835897
2_professional_services,2020-2021,72031.8036885246
3_information_technology,2017-2018,10949389.303560143
3_information_technology,2018-2019,10283082.323778601
3_information_technology,2019-2020,12168867.45330763
3_information_technology,2020-2021,11400488.678123012
6_industrial_products_and_services,2017-2018,154344.92
6_industrial_products_and_services,2019-2020,22712.829999999998
9_human_capital,2019-2020,172586.78
9_human_capital,2020-2021,22258.018666666667
NA,2017-2018,66988.06972602742
