d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2017-2018,74482.00,76534.51
10_office_management,2018-2019,12083.86,12282.69
10_office_management,2020-2021,30736.00,28965.46
11_defence,2017-2018,860868.43,887139.70
11_defence,2018-2019,824517.34,840602.03
11_defence,2019-2020,490202.37,484631.39
11_defence,2020-2021,746922.84,713988.03
11_defence,2021-2022,323793.79,302578.35
2_professional_services,2019-2020,19362.60,19143.03
2_professional_services,2020-2021,5503.05,5186.05
3_information_technology,2017-2018,11180965.31,11508095.84
3_information_technology,2018-2019,10374502.10,10550948.57
3_information_technology,2019-2020,12268280.99,12143065.55
3_information_technology,2020-2021,11542899.42,11002620.78
3_information_technology,2021-2022,13727023.85,12761015.61
6_industrial_products_and_services,2017-2018,14414.34,14915.24
9_human_capital,2019-2020,135242.02,133787.46
9_human_capital,2020-2021,22258.02,21110.44
9_human_capital,2021-2022,10746.89,10064.54
