owner_org,d_fiscal_year,total,total_constant_2019_dollars
pc,2018-2019,1095100.72,1108281.73
pc,2019-2020,1936265.05,1919924.95
pc,2020-2021,1930974.71,1835720.27
pc,2021-2022,1930974.71,1792803.81
pwgsc-tpsgc,2017-2018,981051.70,1006175.19
pwgsc-tpsgc,2018-2019,562685.54,572655.78
pwgsc-tpsgc,2019-2020,1163425.95,1144795.93
pwgsc-tpsgc,2020-2021,297659.42,283240.17
pwgsc-tpsgc,2021-2022,22995.00,21326.78
