d_most_recent_category,total,percentage
10_office_management,8773231.98,0.3347
3_information_technology,8067244.59,0.3078
9_human_capital,8050528.86,0.3071
2_professional_services,1270542.51,0.0485
6_industrial_products_and_services,50919.75,0.0019
