d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,590444.40,605455.50
it_consulting_services,2018-2019,723844.43,734313.04
it_consulting_services,2019-2020,996179.72,982170.02
it_consulting_services,2020-2021,1584621.71,1506975.43
it_consulting_services,2021-2022,1831560.97,1699997.60
it_other,2017-2018,17053.58,17486.66
it_other,2018-2019,22823.22,23199.21
it_other,2019-2020,14967.88,14841.57
it_other,2020-2021,14926.99,14190.64
it_other,2021-2022,14926.99,13858.89
it_software_licensing,2017-2018,11565.62,11839.95
it_software_licensing,2018-2019,27887.20,28381.96
it_software_licensing,2019-2020,74241.00,74148.61
it_software_licensing,2020-2021,5938.46,5597.51
it_software_licensing,2021-2022,40384.19,37551.00
