d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,94208.47
10_office_management,2018-2019,11293.03
11_defence,2017-2018,26323787.267856404
11_defence,2018-2019,21359872.844430566
11_defence,2019-2020,12696463.184405193
11_defence,2020-2021,15027946.229488157
3_information_technology,2017-2018,2389108.8222184596
3_information_technology,2018-2019,2262499.6989486916
3_information_technology,2019-2020,1680745.5116127466
3_information_technology,2020-2021,3375648.724109479
6_industrial_products_and_services,2017-2018,895481.56424581
6_industrial_products_and_services,2018-2019,2337791.8357541896
6_industrial_products_and_services,2019-2020,5371616.942641802
6_industrial_products_and_services,2020-2021,27502096.142346542
9_human_capital,2019-2020,13800
