d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1436631.12,1471967.88
2018-2019,2132434.88,2168513.61
2019-2020,1499630.27,1486974.93
2020-2021,10007.13,9534.12
2021-2022,28462.50,26913.03
