d_most_recent_category,total,percentage
3_information_technology,82815081.90,0.7662
11_defence,21993220.26,0.2035
1_facilities_and_construction,2110615.69,0.0195
6_industrial_products_and_services,614662.73,0.0057
10_office_management,304576.74,0.0028
2_professional_services,247470.00,0.0023
