d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2018-2019,33120.95,33521.10
it_consulting_services,2019-2020,42405.74,42065.43
it_consulting_services,2020-2021,148057.88,140996.16
it_consulting_services,2021-2022,7067.62,6734.09
it_devices_equipment,2017-2018,4971669.65,5123091.60
it_devices_equipment,2018-2019,2618203.74,2652782.00
it_devices_equipment,2019-2020,1636851.33,1619125.07
it_devices_equipment,2020-2021,3360751.72,3201258.19
it_devices_equipment,2021-2022,13259177.32,12274185.39
it_other,2017-2018,13006304.25,13404056.87
it_other,2018-2019,11390214.83,11595918.19
it_other,2019-2020,2560872.55,2539140.62
it_other,2020-2021,6390177.16,6092213.66
it_other,2021-2022,10876272.98,10122998.24
it_software_licensing,2017-2018,41246.54,42389.86
it_software_licensing,2018-2019,4689796.57,4775873.88
it_software_licensing,2019-2020,1350465.45,1328226.89
it_software_licensing,2020-2021,2671071.59,2545562.64
it_software_licensing,2021-2022,3761354.04,3515008.53
