d_most_recent_category,total,percentage
3_information_technology,85642537.68,0.5463646647820276
10_office_management,27079999.96,0.17275941956453816
2_professional_services,20037204.50,0.12782924019205769
9_human_capital,11173030.90,0.07127940679596265
8_security_and_protection,6005815.49,0.03831466760623901
1_facilities_and_construction,3156546.51,0.0201374868204535
6_industrial_products_and_services,1721749.00,0.010984060528149637
4_medical,1213515.96,0.007741739786771981
5_transportation_and_logistics,707091.10,0.004510954512536266
7_travel,12282.82,7.835941126351428e-5
