d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,15209.19
1_facilities_and_construction,2018-2019,68394.75
1_facilities_and_construction,2019-2020,39820.84
1_facilities_and_construction,2020-2021,3033121.73
10_office_management,2017-2018,2957381.25
10_office_management,2018-2019,1693380.12
10_office_management,2019-2020,2045509.86
10_office_management,2020-2021,20383728.72
2_professional_services,2017-2018,1945046.65
2_professional_services,2018-2019,2571135.01
2_professional_services,2019-2020,10017950.34
2_professional_services,2020-2021,5503072.51
3_information_technology,2017-2018,18827216.63
3_information_technology,2018-2019,12004862.64
3_information_technology,2019-2020,18753027.54
3_information_technology,2020-2021,36057430.87
4_medical,2017-2018,321266.48
4_medical,2018-2019,178482.50
4_medical,2019-2020,373029.00
4_medical,2020-2021,340737.98
5_transportation_and_logistics,2017-2018,177730.08
5_transportation_and_logistics,2018-2019,320083.59
5_transportation_and_logistics,2019-2020,173664.35
5_transportation_and_logistics,2020-2021,35613.08
6_industrial_products_and_services,2017-2018,503328.22
6_industrial_products_and_services,2018-2019,301910.94
6_industrial_products_and_services,2019-2020,372395.97
6_industrial_products_and_services,2020-2021,544113.87
7_travel,2017-2018,12282.82
8_security_and_protection,2017-2018,13464.15
8_security_and_protection,2018-2019,2076591.38
8_security_and_protection,2019-2020,1994374.57
8_security_and_protection,2020-2021,1921385.39
9_human_capital,2017-2018,1755086.49
9_human_capital,2018-2019,3695823.97
9_human_capital,2019-2020,2583365.51
9_human_capital,2020-2021,3138754.94
