d_vendor_name,overall_total
MICROSOFT CANADA,57655685.69
SAS INSTITUTE,31261373.24
ORACLE CANADA,28178307.24
COSSETTE COMMUNICATIONS,26798966.17
TRANSCONTINENTAL PRINTING,16418388.80
CANADIAN CORPS OF COMMISSIONAIRES,9332984.80
NORTHERN MICRO,8282041.21
TEKSYSTEMS CANADA,6173831.93
DONNA CONA,5686934.05
THE AIM GROUP,4686449.00
ORACLE CANADA MISSISSAUGA ON,4637367.95
TPG TECHNOLOGY CONSULTANTS,4202639.50
PURESPIRIT SOLUTIONS,3475529.59
ESRI,3156613.51
GARTNER,3069202.90
TUNDRA TECHNICAL SOLUTIONS,3011450.00
OPTIV CANADA FEDERAL,2935761.60
CALIAN,2293929.62
VERITAAQ TECHNOLOGY HOUSE,2281727.43
KONICA MINOLTA BUSINESS SOLUTIONS,2228337.03
DELOITTE,2078806.01
SAP,2072393.53
IBM CANADA,2010137.68
CANON,1821939.21
VMWARE,1767023.51
OPENTEXT,1742169.20
SOFTCHOICE,1694916.00
ECOLE DE LANGUES LA CITE,1530156.87
GRAYBRIDGE INTERNATIONAL CONSULTING,1410335.67
IPSS,1313138.95
HYPERTEC,1312025.63
SI SYSTEMS,1255995.00
TRANSPOLAR TECHNOLOGY,1254015.63
ADSS,1146052.88
ADVANCED BUSINESS INTERIORS,1134225.27
LIONBRIDGE,1127000.00
CONOSCENTI TECHNOLOGIES,1088190.00
APPLIED ELECTONICS,1060844.67
THE MASHA KRUPP TRANSLATION GROUP,971800.00
"NATIONS TRANSLATION GROUP",926600.00
BLOOMBERG FINANCE L P,914247.65
INSA,889561.86
FUJITSU,878010.00
NISHA TECHONOLOGIES,861548.61
LES TRADUCTIONS TESSIER,861000.00
FEAST INTERACTIVE,786169.25
CONEXSYS,777320.56
TRM TECHNOLOGIES,758230.00
FACTIVA,746057.64
ECLIPSYS SOLUTIONS,727028.91
KNOWLEDGE CIRCLE LEARNING SERVICES,711625.24
CORADIX TECHNOLOGY CONSULTING,710848.28
S P GLOBAL MARKET INTELLIGENCE,709498.31
GILMORE REPRODUCTIONS,659671.05
MACDONALD DETTWILER AND ASSOCIATES,658418.41
NIELSEN,641308.06
MAVERIN,569520.00
SAMSON ASSOCIES,552410.40
ELSEVIER,529108.59
TAG HR,525854.63
GENESIS INTEGRATION,515496.33
RAYMOND CHABOT GRANT THORNTON,485900.00
BANCTEC CANADA,483843.79
TEKNION,462267.11
AVI SPL,458821.91
GRAND TOY,441523.28
ASOKAN BUSINESS INTERIORS,409703.18
EBSCO CANADA,402336.65
INFO TECH RESEARCH GROUP,399074.19
MALATEST,383260.69
UBIQUS CANADA,367250.00
TOTEM OFFISOURCE,367142.36
BELL CANADA,362299.98
SUPREMEX,337091.96
MARKIDO,327152.30
QMR,315718.35
EXCEL HUMAN RESOURCES,314516.11
SHI CANADA,310897.64
PITNEY BOWES,305588.53
PRICEWATERHOUSE COOPERS,290975.00
APPAREL TRIMMINGS,283380.27
IRON MOUNTAIN,275776.53
ERNST YOUNG,251521.05
CDW CANADA,246366.58
"NATTIQ",243334.20
BDO CANADA,239895.65
MAXSYS STAFFING AND CONSULTING,233682.00
PROMAXIS,220350.00
DELL COMPUTER,213107.23
MCGILL UNIVERSITY,197750.00
ENVELOPPE CONCEPT,188792.89
STONEWORKS TECHNOLOGIES,173588.08
GLOBAL UPHOLSTERY,173516.91
ACTION PERSONNEL OF OTTAWA HULL,172720.50
FAST TRACK STAFFING,168341.75
NIMBLE INFORMATION STRATEGIES,159520.05
OTTAWA BUSINESS INTERIORS,159016.91
CISTEL TECHNOLOGY,147483.08
NOVA NETWORKS,124983.09
GLASSHOUSE SYSTEMS,118380.59
POSTMEDIA NETWORK,115685.21
MELTWATER,103233.56
THE RIGHT DOOR CONSULTING,101700.00
TELUS CANADA,95363.88
ALGONQUIN COLLEGE,94637.08
DMTI SPATIAL,90046.88
PROQUEST,85642.79
THERMO FISHER SCIENTIFIC,84529.68
IQVIA,78877.97
WINDREACH CONSULTING SERVICES,76684.63
BMC SOFTWARE CANADA,73028.80
CANSEL SURVEY EQUIPMENT,72605.22
RMS SOFTWARE,72380.73
NITAM SOLUTIONS,68852.91
RICOH,64025.75
PLANET LABS,59128.75
WESTBURY NATIONAL SHOW SYSTEMS,58559.31
ORBIS RISK CONSULTING,54240.00
JUNO RISK SOLUTIONS,53403.80
INTEGRA NETWORKS,49494.00
STERICYCLE,48748.20
FAST FORWARD FRENCH,48045.20
THALES,47390.41
LEAN AGILITY,46782.00
JOHN WILEY SONS,46457.32
CARAHSOFT TECHNOLOGY,44370.06
PRINTERS PLUS,43037.58
WILEY SUBSCRIPTION SERVICES,42660.39
CA,42278.95
MNP,38985.00
D DOYLE INSTALLATIONS,36468.94
GENERAL MOTORS,35613.08
FELIX TECHNOLOGY,35266.65
BRECKENHILL,31640.00
THE HALIFAX GROUP,24973.00
UNIVERSITY OF OTTAWA,24950.40
I4C INFORMATION TECHNOLOGY,24857.74
HOOTSUITE,24521.00
SYSTEMSCOPE,24012.50
VWR INTERNATIONAL,21724.79
MISHKUMI TECHNOLOGIES,21696.00
LEVITT SAFETY,21188.68
HAWORTH,18316.62
TYCO INTEGRATED FIRE SECURITY,16437.75
THE MATHWORKS,14061.44
SOLIDCAD,13065.40
KENN BOREK AIR,12282.82
CBCI TELECOM,12037.48
TENAQUIP,11469.45
ST JOSEPH PRINT GROUP,11363.29
CALYTERA SOFTWARE,11022.61
BAYSHORE HEALTHCARE,10735.00
THE STEVENS COMPANY,10559.85
