d_fiscal_year,total,total_constant_2019_dollars
2017-2018,30607.50,31537.68
2018-2019,33150.00,33557.83
2019-2020,691337.30,678533.95
2020-2021,857459.72,817837.26
2021-2022,371873.34,343153.47
2022-2023,1245233.27,1109738.41
