d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,1023504.7818686232
1_facilities_and_construction,2018-2019,1406245.8432239983
1_facilities_and_construction,2019-2020,671472.9699763118
1_facilities_and_construction,2020-2021,829147.556939837
10_office_management,2020-2021,108238
2_professional_services,2017-2018,1667470.1789055115
2_professional_services,2018-2019,680536.9043717687
2_professional_services,2019-2020,156736.88635326023
2_professional_services,2020-2021,603076.9815202883
7_travel,2017-2018,396072.09
9_human_capital,2018-2019,39971.06
NA,2020-2021,34492.49
