d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,139630.51,143909.94
it_consulting_services,2018-2019,122179.99,124449.31
it_consulting_services,2019-2020,263958.99,260250.91
it_consulting_services,2020-2021,112691.15,106439.10
it_consulting_services,2021-2022,188317.72,172423.84
it_consulting_services,2022-2023,317101.71,283574.26
it_software_licensing,2017-2018,219905.62,226185.79
it_software_licensing,2018-2019,65025.02,66231.04
it_software_licensing,2019-2020,253159.53,249657.06
it_software_licensing,2020-2021,479562.76,456273.38
it_software_licensing,2021-2022,129033.95,119176.83
it_software_licensing,2022-2023,145128.14,130388.22
