owner_org,d_fiscal_year,total
aandc-aadnc,2017-2018,5176.161726027397
aandc-aadnc,2018-2019,60967.29898435512
aandc-aadnc,2019-2020,62236.87898824762
aandc-aadnc,2020-2021,65306.370301369854
cbsa-asfc,2020-2021,11342.413972602739
cnsc-ccsn,2019-2020,11373.19
cra-arc,2017-2018,81265.12000000001
cra-arc,2018-2019,81209.95999999999
cra-arc,2019-2020,87313.6
cra-arc,2020-2021,79516.72
dfo-mpo,2017-2018,30881.013183391005
dfo-mpo,2018-2019,78995.63
dfo-mpo,2019-2020,72918.19
dfo-mpo,2020-2021,80040.32
dnd-mdn,2017-2018,216689.2066656187
dnd-mdn,2018-2019,1282000.2112483636
dnd-mdn,2019-2020,1547685.193567956
dnd-mdn,2020-2021,2143919.671409383
ec,2017-2018,15105.4745706791
ec,2018-2019,10110.377427973492
ec,2019-2020,12321.629508196722
fin,2017-2018,20223.91189041096
fin,2018-2019,9506.534136986302
hc-sc,2020-2021,72429.25000000001
isc-sac,2018-2019,5198.330710382514
isc-sac,2019-2020,56175.50928961748
isc-sac,2020-2021,4414.625917808219
nrc-cnrc,2017-2018,417957.7
nrc-cnrc,2018-2019,140860.09005327246
nrc-cnrc,2019-2020,483939.26810462226
nrc-cnrc,2020-2021,477179.49435672513
nrcan-rncan,2017-2018,45260.33156555773
nrcan-rncan,2018-2019,72055.68550736172
nrcan-rncan,2019-2020,48676.76306406685
nrcan-rncan,2020-2021,28011.1124109589
nserc-crsng,2018-2019,22918.568602739724
nserc-crsng,2019-2020,39990.26139726027
nserc-crsng,2020-2021,34856.689999999995
oag-bvg,2018-2019,39101.54
oag-bvg,2019-2020,2562.034098360656
oag-bvg,2020-2021,26283.929682461265
pch,2017-2018,12149.01506849315
pch,2018-2019,32828.980478703495
pch,2019-2020,72701.86445280336
pch,2020-2021,11689.442191780821
phac-aspc,2017-2018,652.9468493150684
phac-aspc,2018-2019,26291.126438356165
phac-aspc,2019-2020,47562.12671232877
rcmp-grc,2017-2018,21299.29
rcmp-grc,2018-2019,4568.5282191780825
rcmp-grc,2019-2020,17280.804100099027
rcmp-grc,2020-2021,20210.728384948245
statcan,2017-2018,41810
statcan,2020-2021,3722.7849041095883
tc,2019-2020,88107.64
tc,2020-2021,20681.414794520548
