d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_devices_equipment,2017-2018,10146161.32,10458970.15
it_devices_equipment,2018-2019,5469171.63,5596191.30
it_devices_equipment,2019-2020,131548.30,129989.46
it_devices_equipment,2020-2021,451471.31,429951.92
it_devices_equipment,2021-2022,457266.01,425131.94
it_devices_equipment,2022-2023,457266.01,409163.54
it_other,2017-2018,2229681.57,2298640.95
it_other,2019-2020,147017.82,144622.56
it_other,2020-2021,259250.54,247100.01
it_other,2021-2022,147340.00,136985.78
it_other,2022-2023,147340.00,131840.45
it_software_licensing,2019-2020,1191.23,1172.84
it_software_licensing,2020-2021,2163.19,2060.05
it_software_licensing,2021-2022,2163.19,2011.17
it_software_licensing,2022-2023,2163.19,1935.63
