d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2019-2020,68852.68000000001
11_defence,2017-2018,689958.54
11_defence,2018-2019,152170.96
11_defence,2019-2020,84338.09457765668
11_defence,2020-2021,42841.67542234332
3_information_technology,2017-2018,12375842.894980311
3_information_technology,2018-2019,5469171.63216652
3_information_technology,2019-2020,279757.3532583639
3_information_technology,2020-2021,712885.0354732889
6_industrial_products_and_services,2018-2019,18970.51
NA,2017-2018,55654.69300546449
NA,2018-2019,272887.5269945356
