d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,3813.24,3912.05
it_consulting_services,2018-2019,3813.24,3872.54
it_consulting_services,2019-2020,1911.84,1913.52
it_devices_equipment,2017-2018,442376.94,452817.80
it_devices_equipment,2018-2019,217413.71,219746.21
it_devices_equipment,2019-2020,11046.99,10953.77
it_devices_equipment,2020-2021,35437.09,33695.51
it_devices_equipment,2021-2022,11016.81,10228.50
it_software_licensing,2017-2018,26356.51,27030.78
it_software_licensing,2018-2019,74274.91,75355.50
it_software_licensing,2019-2020,152010.26,150300.38
it_software_licensing,2020-2021,230998.65,219603.55
it_software_licensing,2021-2022,204975.30,190480.86
