d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2017-2018,253762.64,261165.01
11_defence,2019-2020,288205.21,286548.75
11_defence,2020-2021,132051.73,125186.98
11_defence,2021-2022,1650218.81,1513148.50
5_transportation_and_logistics,2017-2018,838095.04,860685.43
5_transportation_and_logistics,2018-2019,1479605.38,1507869.82
5_transportation_and_logistics,2019-2020,166311.20,164741.70
5_transportation_and_logistics,2020-2021,121212.33,115359.71
5_transportation_and_logistics,2021-2022,558956.38,517069.98
6_industrial_products_and_services,2019-2020,40230.61,40299.79
