d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2020-2021,22055.9
11_defence,2017-2018,13940.3
11_defence,2018-2019,1131536.8767723828
11_defence,2019-2020,5203743.7488134485
11_defence,2020-2021,1552719.0344141691
6_industrial_products_and_services,2018-2019,18296.760000000002
6_industrial_products_and_services,2019-2020,43117.66
6_industrial_products_and_services,2020-2021,67013.02
