d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,4191.00,4299.61
it_consulting_services,2018-2019,4191.00,4256.18
it_consulting_services,2019-2020,4202.49,4167.02
it_consulting_services,2020-2021,27264.62,25705.40
it_consulting_services,2021-2022,57156.96,53387.22
it_devices_equipment,2017-2018,1900626.14,1949348.65
it_devices_equipment,2018-2019,4151587.41,4215269.99
it_devices_equipment,2019-2020,4530328.02,4494145.42
it_devices_equipment,2020-2021,3886047.76,3698924.25
it_devices_equipment,2021-2022,3324759.02,3088596.45
it_other,2017-2018,494467.60,507294.22
it_other,2018-2019,387405.48,393463.89
it_other,2019-2020,252015.84,249810.23
it_other,2020-2021,153507.51,145941.54
it_other,2021-2022,146555.80,135955.97
it_software_licensing,2017-2018,4283360.16,4394376.89
it_software_licensing,2018-2019,4353184.98,4420768.07
it_software_licensing,2019-2020,4314710.42,4278338.11
it_software_licensing,2020-2021,4177915.36,3971817.10
it_software_licensing,2021-2022,2636188.86,2474083.22
