d_fiscal_year,total,total_constant_2019_dollars
2017-2018,17506525.84,18030254.71
2018-2019,15123306.11,15387867.28
2019-2020,24383399.03,24146118.20
2020-2021,11904268.70,11362884.45
2021-2022,11350276.15,10550005.39
