d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
AVI SPL,2022-2023,23920.59,21168.42
MELTWATER,2022-2023,16777.02,15012.15
PLEIAD CANADA,2021-2022,30633.70,28070.23
THE RIGHT DOOR CONSULTING,2022-2023,26021.00,23027.16
