d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2019-2020,23402.50,22995.36
1_facilities_and_construction,2021-2022,340423.00,317353.69
2_professional_services,2021-2022,743328.02,683033.55
2_professional_services,2022-2023,1323486.48,1184261.25
5_transportation_and_logistics,2018-2019,10637.50,10736.87
5_transportation_and_logistics,2021-2022,22080.00,20909.65
