d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1329429.46,1363065.99
2018-2019,3087035.10,3143175.37
2019-2020,1403352.95,1386085.70
2020-2021,1714115.38,1628312.94
2021-2022,2078128.81,1925428.82
