d_most_recent_category,total,percentage
8_security_and_protection,952965006.3020823,0.981919393419321
2_professional_services,10457384.501876505,0.010775116167886036
1_facilities_and_construction,2586289.27,0.0026648697217747453
6_industrial_products_and_services,1876616.38,0.0019336345042519276
3_information_technology,794890.5864495413,8.190421236032708e-4
10_office_management,659728.7954205803,6.797736478639258e-4
5_transportation_and_logistics,612714.9321870056,6.313313401576374e-4
NA,270710.98,2.789361199159167e-4
7_travel,154617.87000000002,1.5931569797229364e-4
4_medical,134500.66,1.38587257253215e-4
