d_most_recent_category,total,percentage
8_security_and_protection,933775548.0408121,0.9817174245964125
2_professional_services,10313298.661876505,0.010842803736587577
1_facilities_and_construction,2806870.4306612136,0.002950980689252439
3_information_technology,2407758.346949541,0.0025313774047492064
10_office_management,633241.7854205804,6.657536664290073e-4
5_transportation_and_logistics,612714.9321870056,6.441729241041367e-4
6_industrial_products_and_services,238747.19999999998,2.510049516774887e-4
7_travel,154617.87000000002,1.625562561061501e-4
4_medical,134500.66,1.4140618890563049e-4
NA,63000,6.62345441357293e-5
9_human_capital,25001.419500000004,2.6285041640137037e-5
