d_most_recent_category,total,percentage
8_security_and_protection,1252876309.95,0.979023933785019
2_professional_services,17791870.08,0.013902941968846394
1_facilities_and_construction,3143085.24,0.0024560729977452897
6_industrial_products_and_services,2020643.31,0.001578973236556175
5_transportation_and_logistics,946729.52,7.397943854417953e-4
10_office_management,886785.08,6.92952536323409e-4
11_defence,830250.34,6.487751004909741e-4
3_information_technology,603530.62,4.7161153425220913e-4
7_travel,219194.51,1.7128320628248084e-4
0_other,174300.00,1.362016907040072e-4
4_medical,134500.66,1.051016482662354e-4
9_human_capital,92597.85,7.235791007203702e-5
