d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,7268949.16,7456043.37
it_consulting_services,2018-2019,6521244.31,6625408.60
it_consulting_services,2019-2020,6005445.78,5955920.76
it_consulting_services,2020-2021,4798488.00,4562667.22
it_consulting_services,2021-2022,5501831.78,5104942.89
it_software_licensing,2017-2018,323467.32,331849.42
it_software_licensing,2018-2019,455710.24,462223.40
it_software_licensing,2019-2020,395325.98,393282.27
it_software_licensing,2020-2021,265212.44,252129.58
it_software_licensing,2021-2022,265212.44,246235.16
