d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2021-2022,74297.74,68977.73
11_defence,2022-2023,98903.75,88030.84
2_professional_services,2018-2019,205592.84,207513.41
5_transportation_and_logistics,2018-2019,238771.10,241001.61
5_transportation_and_logistics,2019-2020,1531488.09,1513058.39
5_transportation_and_logistics,2020-2021,1290918.27,1230998.77
5_transportation_and_logistics,2021-2022,1998300.38,1833048.58
5_transportation_and_logistics,2022-2023,1252684.46,1114809.81
7_travel,2022-2023,247922.69,223051.78
