d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,22128442.07,22805657.98
it_consulting_services,2018-2019,24936579.27,25378533.56
it_consulting_services,2019-2020,29925823.73,29656332.96
it_consulting_services,2020-2021,41598063.65,39648375.96
it_consulting_services,2021-2022,42933004.11,40079352.46
it_devices_equipment,2017-2018,2316428.28,2385024.40
it_devices_equipment,2018-2019,3524500.14,3580851.59
it_devices_equipment,2019-2020,5880003.53,5774024.59
it_devices_equipment,2020-2021,15190334.60,14462892.36
it_devices_equipment,2021-2022,14019674.24,12960851.52
it_other,2017-2018,6773493.68,6961430.64
it_other,2018-2019,2592491.80,2624582.40
it_other,2019-2020,3223425.44,3189887.32
it_other,2020-2021,2413542.68,2300620.58
it_other,2021-2022,1860393.16,1720955.21
it_software_licensing,2017-2018,4886935.89,5032151.04
it_software_licensing,2018-2019,7205493.76,7332458.67
it_software_licensing,2019-2020,8429996.68,8327032.06
it_software_licensing,2020-2021,141749519.00,135163071.77
it_software_licensing,2021-2022,81840189.74,76576977.97
