d_most_recent_category,total,percentage
2_professional_services,319964145.37,0.3593112332046483
3_information_technology,315483452.59,0.35427953427172393
4_medical,101514644.01,0.11399824778571095
6_industrial_products_and_services,53029849.82,0.059551112246375104
9_human_capital,22911647.86,0.02572917173639855
7_travel,20253644.52,0.022744304616028038
1_facilities_and_construction,19175463.56,0.021533536045287426
8_security_and_protection,16430772.98,0.018451321462134934
10_office_management,12518302.66,0.014057721251422715
5_transportation_and_logistics,8633467.24,0.00969515430759404
NA,577629.94,6.486630726759582e-4
