d_most_recent_category,total,percentage
2_professional_services,319964145.37278455,0.3593112332046483
3_information_technology,315483452.5915229,0.35427953427172393
4_medical,101514644.00773448,0.11399824778571095
6_industrial_products_and_services,53029849.821193054,0.059551112246375104
9_human_capital,22911647.855711583,0.02572917173639855
7_travel,20253644.51776217,0.022744304616028038
1_facilities_and_construction,19175463.556020293,0.021533536045287426
8_security_and_protection,16430772.981895594,0.018451321462134934
10_office_management,12518302.659183636,0.014057721251422715
5_transportation_and_logistics,8633467.24403624,0.00969515430759404
NA,577629.9389043493,6.486630726759582e-4
