d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,196214.50325018694
1_facilities_and_construction,2019-2020,181563.49409069156
1_facilities_and_construction,2020-2021,366288.6659093084
10_office_management,2017-2018,124568.75
10_office_management,2018-2019,573973.6746381004
10_office_management,2019-2020,541794.7136654957
10_office_management,2020-2021,176555.1228720642
11_defence,2017-2018,350363.6301801678
11_defence,2018-2019,1145367.0593901342
11_defence,2019-2020,1582085.3138942907
11_defence,2020-2021,387531.2576329458
2_professional_services,2017-2018,113944.16607142858
2_professional_services,2018-2019,43469.283928571436
2_professional_services,2019-2020,2043165.3375
2_professional_services,2020-2021,9943404.6425
3_information_technology,2018-2019,136478.5
3_information_technology,2019-2020,21938.7
3_information_technology,2020-2021,975403.7453664303
4_medical,2017-2018,280576.91
4_medical,2018-2019,210753.33000000002
4_medical,2019-2020,34054.79452054795
5_transportation_and_logistics,2017-2018,49899.159999999996
5_transportation_and_logistics,2018-2019,910258.3667881549
5_transportation_and_logistics,2019-2020,2222380.3797166995
5_transportation_and_logistics,2020-2021,626419.2134951456
6_industrial_products_and_services,2017-2018,2557437.743825664
6_industrial_products_and_services,2018-2019,4276647.240285338
6_industrial_products_and_services,2019-2020,3956637.02537021
6_industrial_products_and_services,2020-2021,3354539.0923880353
8_security_and_protection,2019-2020,49138.735948553054
8_security_and_protection,2020-2021,144642.24694533763
