d_most_recent_category,d_fiscal_year,total
2_professional_services,2017-2018,1457342.65
2_professional_services,2018-2019,4324634.68
2_professional_services,2019-2020,4336482.99
2_professional_services,2020-2021,4324634.68
3_information_technology,2018-2019,921015.01
3_information_technology,2019-2020,3178624.99
