normalized_vendor_name,original_vendor_name
CAPELLO SYSTEMS,Capello Systems Ltd.
CAPELLO SYSTEMS,CAPELLO SYSTEMS LTD
CAPELLO SYSTEMS,CAPELLO SYSTEMS LTD.
