owner_org,d_fiscal_year,total
aafc-aac,2018-2019,10580.32
aafc-aac,2020-2021,19114.59
cnsc-ccsn,2017-2018,93818.25
cnsc-ccsn,2018-2019,46895.00
cnsc-ccsn,2019-2020,108886.80
cnsc-ccsn,2020-2021,39244.09
dfo-mpo,2018-2019,14605.25
dnd-mdn,2017-2018,658471.44
dnd-mdn,2018-2019,987715.97
dnd-mdn,2019-2020,759461.42
dnd-mdn,2020-2021,13921.60
hc-sc,2017-2018,300706.33
hc-sc,2018-2019,39662.62
hc-sc,2019-2020,291760.21
hc-sc,2020-2021,622352.34
nrc-cnrc,2017-2018,210825.23
nrc-cnrc,2018-2019,45395.50
nrc-cnrc,2019-2020,103843.61
nrc-cnrc,2020-2021,42561.42
nrcan-rncan,2017-2018,60739.39
nrcan-rncan,2019-2020,40295.80
rcmp-grc,2017-2018,56516.95
rcmp-grc,2019-2020,19355.00
rcmp-grc,2020-2021,281436.65
