d_most_recent_category,total,percentage
6_industrial_products_and_services,5344552.50,0.9054
4_medical,247192.59,0.0419
11_defence,176733.53,0.0299
10_office_management,97205.61,0.0165
1_facilities_and_construction,37026.30,0.0063
