d_most_recent_category,d_fiscal_year,total
11_defence,2017-2018,15385.690000000002
11_defence,2018-2019,79069.42
5_transportation_and_logistics,2017-2018,19754.3161627907
5_transportation_and_logistics,2018-2019,1654860.2766368517
5_transportation_and_logistics,2019-2020,3055205.617781753
6_industrial_products_and_services,2017-2018,21880.94
6_industrial_products_and_services,2018-2019,54046.49
6_industrial_products_and_services,2019-2020,129371.26
6_industrial_products_and_services,2020-2021,62003.39000000001
9_human_capital,2020-2021,42000
